2023-03-26 16:04:48,394 INFO    MainThread:83104 [wandb_setup.py:_flush():76] Configure stats pid to 83104
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_setup.py:_flush():76] Loading settings from /Users/xudongliu/.config/wandb/settings
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_setup.py:_flush():76] Loading settings from /Users/xudongliu/work_flow/csc2516_proj/wandb/settings
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_init.py:_log_setup():506] Logging user logs to /Users/xudongliu/work_flow/csc2516_proj/wandb/run-20230326_160448-wvrxqq4q/logs/debug.log
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_init.py:_log_setup():507] Logging internal logs to /Users/xudongliu/work_flow/csc2516_proj/wandb/run-20230326_160448-wvrxqq4q/logs/debug-internal.log
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_init.py:init():546] calling init triggers
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_init.py:init():602] starting backend
2023-03-26 16:04:48,395 INFO    MainThread:83104 [wandb_init.py:init():606] setting up manager
2023-03-26 16:04:48,408 INFO    MainThread:83104 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-26 16:04:48,413 INFO    MainThread:83104 [wandb_init.py:init():613] backend started and connected
2023-03-26 16:04:48,419 INFO    MainThread:83104 [wandb_init.py:init():701] updated telemetry
2023-03-26 16:04:48,444 INFO    MainThread:83104 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-26 16:04:48,742 INFO    MainThread:83104 [wandb_run.py:_on_init():2133] communicating current version
2023-03-26 16:04:48,844 INFO    MainThread:83104 [wandb_run.py:_on_init():2142] got version response 
2023-03-26 16:04:48,844 INFO    MainThread:83104 [wandb_init.py:init():789] starting run threads in backend
2023-03-26 16:04:52,241 INFO    MainThread:83104 [wandb_run.py:_console_start():2114] atexit reg
2023-03-26 16:04:52,242 INFO    MainThread:83104 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-26 16:04:52,242 INFO    MainThread:83104 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-26 16:04:52,242 INFO    MainThread:83104 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-26 16:04:52,243 INFO    MainThread:83104 [wandb_init.py:init():831] run started, returning control to user process
2023-03-26 16:05:01,335 INFO    MainThread:83104 [wandb_watch.py:watch():51] Watching
2023-03-26 16:05:06,716 WARNING MsgRouterThr:83104 [router.py:message_loop():77] message_loop has been closed
